n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27730035,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5350000,5350000,-1,4010,Aston Villa,1128670,Tyrone Mings,NULL,NULL,Rough play,NULL,1545963,Mattéo Guendouzi
27730041,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Shot wide,Second half,5448000,5448000,1,4034,Chelsea,961851,Jorginho,NULL,NULL,NULL,Right foot,0,NULL
27730024,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,5438000,5438000,1,4034,Chelsea,681805,Willian,NULL,NULL,NULL,Right foot,0,NULL
27730022,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,5428000,5428000,-1,4075,Liverpool,1179328,Andrew Robertson,NULL,NULL,Rough play,NULL,681805,Willian
27730020,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5372000,5372000,1,4007,Arsenal,828604,Bernd Leno,NULL,NULL,NULL,Right foot,0,NULL
27730015,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Injury time,Second half,5400000,5400000,0,0,NULL,0,NULL,NULL,NULL,NULL,240000,0,NULL
27730002,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Shot wide,Second half,5389000,5389000,1,4034,Chelsea,1496606,Mason Mount,NULL,NULL,NULL,Left foot,0,NULL
27729997,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Blocked shot,Second half,5321000,5321000,-1,4010,Aston Villa,875846,Conor Hourihane,NULL,NULL,NULL,Left foot,0,NULL
27729996,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot blocked by,Second half,5321000,5321000,1,4007,Arsenal,627971,Sokratis Papastathopoulos,NULL,NULL,NULL,NULL,0,NULL
27729988,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5310000,5310000,-1,4010,Aston Villa,1028610,Jack Grealish,NULL,NULL,NULL,Right foot,0,NULL
27729982,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5297000,5297000,1,4007,Arsenal,1679870,Joe Willock,NULL,NULL,Tackle,NULL,1028610,Jack Grealish
27729971,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5279000,5279000,-1,4010,Aston Villa,1128670,Tyrone Mings,NULL,NULL,NULL,Right foot,0,NULL
27729970,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5267000,5267000,1,4007,Arsenal,749983,Pierre-Emerick Aubameyang,NULL,NULL,Rough play,NULL,1028610,Jack Grealish
